1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
509118.495145631,488227.09790979093,564920.6880829015,564603.9196787149,638184.1385948027,635723.1375464684,792228.9343065694,1047089.1830985916,1154501.7751479289,1210851.1483870968,1234304.6549349658,1124842.7665198238,1243158.8082679969,1260055.9224913495,1246469.2739541163,1327937.7007874015,1380146.2332695983,1752956.660436137,2170849.688343558,2569678.7899159663,2799924.0000000005,3601434.814229249,3326494.319066148,3392146.5869565215,3723893.2175754365,3327079.168458781,3315518.5277777775,3780353.4780511335,3846253.2280538776,3460216.5034965035,3716132.320953691,3843474.393952868,3903065.0
489769.6796116504,487911.3663366336,553526.3419689119,547533.7590361446,625172.7353224254,603365.7546468402,785485.4817518248,1032848.3239436621,1130480.1420118343,1148796.1935483871,1218545.3465952564,1098261.7621145374,1221399.9942979328,1234690.2865051902,1230185.0256410257,1305012.3517060366,1379386.7533460802,1741794.2380062304,1927730.051533742,2518699.5966386553,2757998.666666667,3364529.3596837944,3065578.614785992,3322384.373913043,3612148.878771837,3133200.6021505375,3259216.4166666665,3449304.1698022187,3685238.8964235946,3448197.023776224,3638603.1068317285,3842138.0382392174,3623805.0
480337.6893203883,475582.67986798676,546628.8248704663,536118.3052208836,623053.520692974,578361.5464684014,750211.7153284672,1014053.8661971831,1085138.5088757395,1140230.6322580646,1183016.195868401,1094920.5932452276,1214143.783321454,1151432.0830449827,1194039.2928475034,1270863.118110236,1353716.624601657,1608716.3613707165,1850812.642944785,2419978.487394958,2701041.3333333335,3293916.015810277,3041429.13618677,3246344.347826087,3584671.0217046053,3125733.017921147,3201574.972222222,3315335.394114809,3230570.110543427,3426654.2284382284,3512172.566712517,3837147.8879502,3538656.0
463073.10679611645,466550.23102310224,517366.12642487045,530629.5742971888,611617.7170356112,552220.0074349443,714841.5839416059,1013174.6760563381,1074386.3195266272,1012067.5419354838,1173819.899005356,1038029.6916299559,1193047.749109052,1123635.388235294,1185739.9190283401,1269413.805774278,1327178.727852135,1598423.7009345794,1818237.6147239262,2374114.9915966387,2697953.3333333335,3087716.806324111,3016132.2957198443,3205609.065217391,3356530.786659608,3075124.616487455,3201492.972222222,3259813.8388808486,3220729.1964700413,3261709.3743589744,3387772.7391104996,3662172.0658070254,3512024.0
462061.64077669894,459437.43014301424,496380.92435233155,515931.48594377516,602385.1010587103,520660.67657992564,683116.5620437957,1007341.7042253523,1035127.2426035502,970043.3354838709,1156259.9785768937,1007134.8370044053,1174810.6685673555,1082760.2325259515,1159334.3697705804,1250794.2099737532,1304193.8508604206,1558047.0031152647,1807805.6049079753,2357680.537815126,2669424.0000000005,3029081.296442688,2871833.992217899,3198858.326086956,3304545.651667549,3047525.5913978494,3138676.4166666665,3198224.9956584657,3071392.1523455638,3187534.124009324,3367675.1068317285,3576757.598932859,3460995.0
456647.65048543684,450139.7667766776,461250.9347150259,499928.64257028117,598836.1347449471,498306.6840148699,665829.5255474453,966090.5070422536,1022360.4733727811,924495.5096774193,1074204.768171385,975268.9867841409,1151772.1168923734,1081460.4899653979,1133280.5020242915,1238783.900262467,1275441.9018483108,1515268.446105919,1805367.3374233127,2258625.9159663864,2624913.3333333335,2993523.76284585,2826663.1595330737,3088166.169565217,3039127.3223928004,3033368.688172043,3128762.3888888885,3166547.284129281,2861673.400836042,3148408.9995337995,3195580.3796423655,3550490.9097376615,3453118.0
450517.55339805817,448076.1452145214,439214.0932642487,494460.6586345382,580472.5543792108,493001.9851301115,657902.4598540147,940367.6267605635,999243.2662721893,904216.6451612903,1004506.1484315227,968944.0293685757,1128695.925873129,1073134.5107266435,1067609.0148448045,1198918.7716535432,1251371.2173358826,1507556.46105919,1742499.1950920243,2234659.8655462186,2587358.666666667,2581964.14229249,2814044.7315175096,3057829.0217391304,3034052.785600847,2916216.258064516,3034766.472222222,3141790.799807043,2789536.5573618202,3019619.9906759905,3142705.005043558,3520660.26500667,3436758.0
440177.1941747572,432385.54895489546,432704.39792746113,486247.15662650607,575736.9162656401,483905.4721189591,650013.1021897811,909517.147887324,976859.6923076923,884369.2064516129,963659.482785004,961938.026431718,1106994.3891660725,1072664.188235294,1065584.1349527666,1194165.5695538057,1245781.2109623963,1435330.4523364485,1723318.4392638034,2167007.7983193276,2576373.3333333335,2529893.8181818184,2800206.194552529,2933177.4347826084,2992198.4923239807,2893785.290322581,3015757.2777777775,3136749.1249397006,2752758.9670227584,2946042.0214452213,3131862.95827602,3472503.477100934,3420021.0
425197.46601941745,382846.00220022,413325.20621761656,483480.8915662651,574890.5563041386,481667.08550185873,638015.6642335767,891367.4295774648,971995.9763313609,878610.6903225806,961402.1300688601,954596.5580029369,1044596.5388453313,1045245.6581314878,1060373.9811066128,1191631.5328083988,1216426.3607393242,1374143.8404984423,1681849.580368098,2124294.756302521,2456294.666666667,2517576.3162055337,2770658.1167315175,2878377.904347826,2938594.3673901535,2888902.9103942653,2980988.138888889,2996955.6198745775,2736643.243845796,2916642.5174825173,3070800.5171939475,3224483.4112939085,3393820.0
424899.3203883495,381499.7227722772,402252.06217616575,480299.686746988,558909.1588065447,477568.0,583087.6350364964,791770.3450704226,951799.7159763313,849410.7548387096,943647.2165263965,950591.201174743,1035291.4383464004,1037706.1979238754,1040610.0998650474,1186188.3254593175,1201156.2778840025,1372032.3788161993,1627362.542331288,2113582.3865546216,2425764.0000000005,2473171.8577075102,2700283.6108949413,2833951.552173913,2875277.5182636315,2811432.6021505375,2980949.4166666665,2996778.4081041967,2705814.138411518,2813404.937995338,3058318.3200366804,3159366.441974211,3206530.0
